,city,year,company,car_name,name,model,price,kms_driven,owner,fuel_type,car_link
980,Mumbai,2018,Mahindra,XUV500  ,Mahindra XUV500  ,Automatic,1590699,61096,1,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-mumbai-1034218260/
981,Mumbai,2019,Maruti,Dzire  ,Maruti Dzire  ,Automatic,686599,12949,2,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-mumbai-10321796712/
982,Mumbai,2016,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Manual,811499,37091,1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-mumbai-1035316663/
983,Mumbai,2020,Tata,Harrier  ,Tata Harrier  ,Manual,2134699,13596,1,Diesel,https://www.cars24.com/buy-used-tata-harrier-2020-cars-mumbai-1038110665/
984,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,609999,29433,2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1039692969/
985,Mumbai,2019,Hyundai,Creta  ,Hyundai Creta  ,Automatic,1432699,17464,1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-mumbai-1034597568/
986,Mumbai,2019,Hyundai,Verna  ,Hyundai Verna  ,Automatic,1297799,35135,1,Diesel,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-mumbai-1034575066/
987,Mumbai,2015,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,438499,14861,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-mumbai-1038318267/
988,Mumbai,2016,Hyundai,Creta  ,Hyundai Creta  ,Automatic,1006999,29349,1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-mumbai-1031006765/
989,Mumbai,2019,Volkswagen,Vento  ,Volkswagen Vento  ,Automatic,962999,37905,1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2019-cars-mumbai-1031111864/
990,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Manual,669899,30420,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1032908669/
991,Mumbai,2018,Renault,Kwid  ,Renault Kwid  ,Automatic,453399,7228,1,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-mumbai-1034114068/
992,Mumbai,2018,Hyundai,Eon  ,Hyundai Eon  ,Manual,362299,36057,1,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2018-cars-mumbai-1037676867/
993,Mumbai,2019,Honda,Civic  ,Honda Civic  ,,1827999,13817,1,Petrol,https://www.cars24.com/buy-used-honda-civic-2019-cars-mumbai-1030781761/
994,Mumbai,2017,Maruti,Dzire  ,Maruti Dzire  ,Manual,673999,49684,1,Diesel,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-1030521466/
995,Mumbai,2021,Volkswagen,Vento  ,Volkswagen Vento  ,Manual,1479999,8548,1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2021-cars-mumbai-10347690711/
996,Mumbai,2016,Honda,Jazz  ,Honda Jazz  ,Automatic,593599,66112,1,Petrol,https://www.cars24.com/buy-used-honda-jazz-2016-cars-mumbai-1038287309/
997,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,574501,28006,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1039621463/
998,Mumbai,2017,Maruti,Dzire  ,Maruti Dzire  ,Manual,654899,28971,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-10332594778/
999,Mumbai,2016,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,512099,24517,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1035970267/
1000,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Automatic,811799,23504,1,Diesel,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-pune-10660393777/
1001,Mumbai,2018,Maruti,Baleno  ,Maruti Baleno  ,Automatic,678699,13825,2,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-1034634667/
1002,Mumbai,2019,Maruti,Baleno  ,Maruti Baleno  ,Manual,758999,498,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1035673360/
1003,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,597593,31169,2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1037790266/
1004,Mumbai,2019,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Manual,838699,49323,1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-mumbai-1034100260/
1005,Mumbai,2017,Maruti,Ciaz  ,Maruti Ciaz  ,Manual,691599,62783,1,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-mumbai-1034296364/
1006,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Automatic,740499,24068,1,Diesel,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1032315168/
1007,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Manual,701899,53823,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1032786362/
1008,Mumbai,2019,Honda,City  ,Honda City  ,Automatic,1024499,40797,2,Petrol,https://www.cars24.com/buy-used-honda-city-2019-cars-mumbai-1032320061/
1009,Mumbai,2015,Maruti,Wagon R 1.0,Maruti Wagon R 1.0,Manual,379099,38491,1,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-mumbai-1039520664/
1010,Mumbai,2018,Tata,TIGOR  ,Tata TIGOR  ,Automatic,527899,51703,1,Petrol,https://www.cars24.com/buy-used-tata-tigor-2018-cars-mumbai-10337394717/
1011,Mumbai,2017,Maruti,Dzire  ,Maruti Dzire  ,Manual,512699,53754,2,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-1036376461/
1012,Mumbai,2017,Volkswagen,Vento  ,Volkswagen Vento  ,Automatic,761044,45176,1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2017-cars-mumbai-1033452363/
1013,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Manual,704199,36463,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1032734660/
1014,Mumbai,2016,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,548699,61279,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-mumbai-1039932760/
1015,Mumbai,2017,Maruti,Dzire  ,Maruti Dzire  ,Manual,676013,24887,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-1033715866/
1016,Mumbai,2014,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,395299,68292,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-mumbai-1035120069/
1017,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,574499,25369,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1030048966/
1018,Mumbai,2017,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,480899,13771,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-mumbai-1030968865/
1019,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,659799,22331,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1031605869/
1020,Mumbai,2016,Volkswagen,Ameo  ,Volkswagen Ameo  ,Manual,501799,51558,1,Petrol,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-mumbai-1036112268/
1021,Mumbai,2017,Maruti,Dzire  ,Maruti Dzire  ,Automatic,621699,20264,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-1039581940/
1022,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,655099,38537,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1038590168/
1023,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,632499,50910,1,Diesel,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1033436804/
1024,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Manual,648299,19703,2,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1038061809/
1025,Mumbai,2019,MG,HECTOR  ,MG HECTOR  ,Manual,1692699,42021,1,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-mumbai-1036478965/
1026,Mumbai,2017,Jeep,Compass  ,Jeep Compass  ,Manual,1299349,29159,1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-mumbai-1036197769/
1027,Mumbai,2018,Maruti,Dzire  ,Maruti Dzire  ,Manual,704199,28567,1,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1037544866/
1028,Mumbai,2019,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,556099,26161,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-mumbai-1039007763/
1029,Mumbai,2019,MG,HECTOR  ,MG HECTOR  ,Manual,1606211,19802,1,Petrol,https://www.cars24.com/buy-used-mg-hector-2019-cars-mumbai-1037226068/
1030,Mumbai,2017,Jeep,Compass  ,Jeep Compass  ,Manual,1306099,26404,2,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-mumbai-1034403623/
1031,Mumbai,2019,Hyundai,Elite i20 ,Hyundai Elite i20 ,Automatic,844999,25349,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-mumbai-1034368963/
1032,Mumbai,2020,Maruti,S PRESSO ,Maruti S PRESSO ,Manual,481999,2676,1,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-mumbai-1033284962/
1033,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,591899,51545,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1037385566/
1034,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,561699,81903,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1039670267/
1035,Mumbai,2017,Jeep,Compass  ,Jeep Compass  ,Manual,1251899,68172,1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-mumbai-1038664163/
1036,Mumbai,2016,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,523899,40669,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1037343504/
1037,Mumbai,2019,Ford,Ecosport  ,Ford Ecosport  ,Manual,875099,17655,1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2019-cars-mumbai-1032695806/
1038,Mumbai,2018,Maruti,Ciaz  ,Maruti Ciaz  ,Manual,726199,42488,2,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-mumbai-1033684967/
1039,Mumbai,2017,Honda,Jazz  ,Honda Jazz  ,Automatic,630299,57606,1,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-mumbai-1033012562/
1040,Mumbai,2017,Jeep,Compass  ,Jeep Compass  ,Manual,1253899,50485,1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-mumbai-1035398065/
1041,Mumbai,2019,Tata,NEXON  ,Tata NEXON  ,Automatic,944999,14768,1,Petrol,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-1033864163/
1042,Mumbai,2019,Maruti,Baleno  ,Maruti Baleno  ,Manual,714999,31471,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1038642067/
1043,Mumbai,2016,Skoda,Superb  ,Skoda Superb  ,Automatic,1958799,46514,1,Diesel,https://www.cars24.com/buy-used-skoda-superb-2016-cars-mumbai-1031493628/
1044,Mumbai,2018,Mahindra,MARAZZO  ,Mahindra MARAZZO  ,,1128499,7365,1,Diesel,https://www.cars24.com/buy-used-mahindra-marazzo-2018-cars-mumbai-1030567263/
1045,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,635499,18632,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1035629862/
1046,Mumbai,2018,Tata,NEXON  ,Tata NEXON  ,Manual,740199,37918,2,Petrol,https://www.cars24.com/buy-used-tata-nexon-2018-cars-mumbai-1038398266/
1047,Mumbai,2018,Hyundai,Creta  ,Hyundai Creta  ,Automatic,1210199,33823,2,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-mumbai-1033846166/
1048,Mumbai,2021,Hyundai,VENUE  ,Hyundai VENUE  ,Automatic,1333899,3028,1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-mumbai-10377395777/
1049,Mumbai,2018,Maruti,Alto 800 ,Maruti Alto 800 ,Manual,323199,41470,1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-mumbai-1039975560/
1050,Mumbai,2016,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Manual,734599,66275,1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-mumbai-1038200667/
1051,Mumbai,2020,MG,HECTOR PLUS ,MG HECTOR PLUS ,,1827199,17984,1,Petrol,https://www.cars24.com/buy-used-mg-hector-plus-2020-cars-mumbai-1032958564/
1052,Mumbai,2015,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,559699,51788,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-mumbai-10312691771/
1053,Mumbai,2019,Hyundai,VENUE  ,Hyundai VENUE  ,Manual,1035499,7846,1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-mumbai-1033601908/
1054,Mumbai,2017,Honda,WR-V  ,Honda WR-V  ,Manual,770499,14909,1,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-mumbai-1032464045/
1055,Mumbai,2017,Maruti,Baleno  ,Maruti Baleno  ,Manual,611899,40618,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1038290462/
1056,Mumbai,2021,Maruti,Alto  ,Maruti Alto  ,Manual,439689,9706,1,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-mumbai-1034760660/
1057,Mumbai,2019,Maruti,Baleno  ,Maruti Baleno  ,Manual,720399,42287,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1030513161/
1058,Mumbai,2021,Hyundai,VENUE  ,Hyundai VENUE  ,Manual,1080399,25426,1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-mumbai-1037436468/
1059,Mumbai,2019,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Manual,904599,74105,1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-mumbai-1034170867/
1060,Mumbai,2018,Hyundai,NEW SANTRO ,Hyundai NEW SANTRO ,Manual,448099,9395,2,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-mumbai-1034008366/
1061,Mumbai,2019,Hyundai,VENUE  ,Hyundai VENUE  ,Manual,929399,96000,1,Diesel,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-mumbai-1032509400/
1062,Mumbai,2018,Maruti,Baleno  ,Maruti Baleno  ,Manual,632399,37219,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-1037380668/
1063,Mumbai,2018,Maruti,Baleno  ,Maruti Baleno  ,Manual,622399,42213,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-1038095265/
1064,Mumbai,2017,Honda,City  ,Honda City  ,Automatic,861599,69376,1,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-mumbai-1037996367/
1065,Mumbai,2018,Ford,Ecosport  ,Ford Ecosport  ,Manual,826899,17181,1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-mumbai-1039883763/
1066,Mumbai,2017,Honda,City  ,Honda City  ,Manual,892099,27432,1,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-mumbai-1031366469/
1067,Mumbai,2019,Maruti,Baleno  ,Maruti Baleno  ,Manual,754799,9633,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1030477766/
1068,Mumbai,2015,Maruti,Baleno  ,Maruti Baleno  ,Manual,542799,61347,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2015-cars-mumbai-1031957764/
