,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
369,Mumbai,2019, Volkswagen Ameo,COMFORTLINE 1.0 Manual,"₹5,70,499","7,127 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-ameo-2019-cars-mumbai-1039576606/
370,Mumbai,2019, Hyundai VENUE,1.0L Turbo GDI SX MT Manual,"₹9,03,399","22,716 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-mumbai-1039832560/
371,Mumbai,2014, Honda CRV,2.4 AT 4WD AVN Automatic,"₹10,60,699","1,03,411 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-crv-2014-cars-mumbai-1060605145/
372,Mumbai,2017, Hyundai Elite i,SPORTZ 1.2 Manual,"₹5,69,999","63,277 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1030346149/
373,Mumbai,2016, Hyundai Elite i,ASTA 1.2 (O) Manual,"₹5,48,299","76,366 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-mumbai-1030495664/
374,Mumbai,2018, Maruti Ciaz,ZETA 1.4 VVT Manual,"₹7,12,999","51,725 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-mumbai-1036464063/
375,Mumbai,2016, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹5,78,399","76,773 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-mumbai-1032093860/
376,Mumbai,2018, Maruti Dzire,VDI Manual,"₹7,41,999","47,158 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1038590369/
377,Mumbai,2018, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹7,43,299","14,930 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-mumbai-1034192741/
378,Mumbai,2017, Ford Figo Aspire,1.5 TITANIUM DIESEL Manual,"₹4,65,699","1,41,022 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-figo-aspire-2017-cars-mumbai-1032569104/
379,Mumbai,2018, Maruti Dzire,VXI Manual,"₹7,04,199","6,829 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1031758164/
380,Mumbai,2020, Maruti S PRESSO,VXI PLUS AGS Automatic,"₹5,34,699","2,799 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-mumbai-1036820062/
381,Mumbai,2017, Hyundai Verna,1.6 SX (O) CRDI MT Manual,"₹11,20,099","53,640 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-mumbai-1030526864/
382,Mumbai,2020, Honda Jazz,ZX CVT Automatic,"₹10,61,999","11,909 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2020-cars-mumbai-10353893772/
383,Mumbai,2016, Hyundai i Active,1.2 Manual,"₹5,46,499","47,707 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-active-2016-cars-mumbai-1032979969/
384,Mumbai,2021, Skoda Rapid,1.0 AMBITION TSI AT Automatic,"₹12,06,099","4,245 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-rapid-2021-cars-mumbai-1038784365/
385,Mumbai,2018, Skoda Octavia,LK 1.8 TSI AT Automatic,"₹17,59,499","26,809 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-octavia-2018-cars-mumbai-1033980863/
