,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
219,Gurgaon,2017, Honda WR-V,1.2 i-VTEC S MT Manual,"₹6,95,899","17,884 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-new-delhi-1004540362/
220,Gurgaon,2019, MG HECTOR,SHARP DCT PETROL Automatic,"₹16,78,499","38,644 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mg-hector-2019-cars-new-delhi-10097898795/
221,Gurgaon,2019, Maruti Celerio,ZXI OPT Manual,"₹5,19,399","43,352 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-gurgaon-10149892796/
222,Gurgaon,2018, Honda Jazz,1.2 S MT Manual,"₹5,79,499","50,246 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2018-cars-new-delhi-1109082861/
223,Gurgaon,2019, Hyundai VENUE,1.4 CRDI MT SX Manual,"₹9,03,399","34,107 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-new-delhi-10000293778/
224,Gurgaon,2020, Maruti Vitara Brezza,ZXI AT SHVS Automatic,"₹10,63,999","17,557 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-new-delhi-1008732165/
225,Gurgaon,2020, Hyundai Creta,1.6 SX AT CRDI Automatic,"₹17,26,699","41,453 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-new-delhi-10068198799/
226,Gurgaon,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,82,099","28,999 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-new-delhi-10001294792/
227,Gurgaon,2019, Honda City,V MT PETROL Manual,"₹9,07,299","41,091 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2019-cars-new-delhi-1051198163/
228,Gurgaon,2019, Maruti Baleno,SIGMA 1.2 K12 Manual,"₹5,58,999","24,693 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-new-delhi-1001496060/
229,Gurgaon,2015, Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹8,63,399","69,186 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-new-delhi-1002370264/
230,Gurgaon,2018, Hyundai Creta,1.6 VTVT SX AUTO Automatic,"₹11,95,799","28,711 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-new-delhi-1124740068/
231,Gurgaon,2015, Hyundai Creta,1.6 S Manual,"₹8,61,599","49,566 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-new-delhi-1001184065/
232,Gurgaon,2017, Maruti Alto K,VXI Manual,"₹3,52,499","37,332 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-ghaziabad-11235296773/
233,Gurgaon,2016, Hyundai Grand i,MAGNA 1.2 VTVT Manual,"₹4,20,799","80,447 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-new-delhi-1003400961/
234,Gurgaon,2019, Maruti Alto K,VXI Manual,"₹4,14,699","12,404 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-new-delhi-1002425166/
235,Gurgaon,2021, Toyota YARIS,G MT Manual,"₹9,44,799","13,490 km",1st Owner,Petrol,https://www.cars24.com/buy-used-toyota-yaris-2021-cars-new-delhi-1008797468/
236,Gurgaon,2021, Maruti S Cross,ZETA SHVS PETROL Manual,"₹10,28,899","10,033 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-new-delhi-10088393710/
237,Gurgaon,2015, Hyundai Creta,1.6 S Manual,"₹8,39,379","71,301 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-new-delhi-1004980466/
238,Gurgaon,2018, Renault Kwid,RXT Manual,"₹3,47,099","39,207 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-gurgaon-10137091793/
239,Gurgaon,2018, Maruti Baleno,ALPHA 1.2 K12 AMT Automatic,"₹7,19,899","29,117 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-new-delhi-1005976467/
240,Gurgaon,2019, Maruti XL,ALPHA SHVS  MT Manual,"₹10,77,199","17,630 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-new-delhi-10083696774/
241,Gurgaon,2021, Maruti Alto,LXI OPT Manual,"₹4,29,299","5,116 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-new-delhi-1009810864/
242,Gurgaon,2016, Honda Jazz,1.2 V MT Manual,"₹5,30,899","60,539 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2016-cars-new-delhi-10142299770/
243,Gurgaon,2016, Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,"₹6,27,299","51,657 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-new-delhi-1009798762/
244,Gurgaon,2016, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,46,699","46,995 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-new-delhi-1007494466/
245,Gurgaon,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,27,399","21,569 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-noida-1053536962/
246,Gurgaon,2014, Honda Amaze,1.2 EXMT I VTEC Manual,"₹4,06,199","85,083 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2014-cars-new-delhi-1008156462/
247,Gurgaon,2019, Maruti Alto,VXI Manual,"₹3,79,499","23,209 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-new-delhi-1003499466/
248,Gurgaon,2018, Hyundai Elite i,ASTA 1.2 (O) Manual,"₹6,51,799","37,734 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-new-delhi-10069199774/
249,Gurgaon,2017, Mahindra XUV,W8 FWD Manual,"₹11,43,899","27,478 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2017-cars-new-delhi-1127355665/
250,Gurgaon,2016, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,44,299","66,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-new-delhi-10071898774/
251,Gurgaon,2021, Maruti S PRESSO,VXI PLUS Manual,"₹5,05,599","4,055 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-noida-1057776364/
252,Gurgaon,2015, Hyundai Elite i,MAGNA 1.2 Manual,"₹4,75,399","66,477 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-new-delhi-1001746767/
