,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
123,Noida,2014, Maruti Swift Dzire,ZDI Manual,"₹4,39,299","76,915 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-new-delhi-1006432464/
124,Noida,2017, Maruti S Cross,ALPHA SHVS Manual,"₹7,77,099","96,675 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-new-delhi-1013512000/
125,Noida,2017, Ford Ecosport,1.5TITANIUM TDCI Manual,"₹6,07,699","85,698 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-new-delhi-1002421266/
126,Noida,2015, Hyundai Elite i,SPORTZ (O) 1.4 Manual,"₹4,91,599","96,101 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-new-delhi-1120252263/
127,Noida,2014, Maruti Swift,VDI Manual,"₹3,43,199","59,025 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2014-cars-new-delhi-1002880321/
128,Noida,2015, Maruti Swift,VDI ABS Manual,"₹4,36,199","83,576 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2015-cars-new-delhi-1001061764/
129,Noida,2015, Hyundai Grand i,SPORTZ 1.1 CRDI Manual,"₹3,97,599","73,886 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-new-delhi-1005265464/
130,Noida,2016, Maruti Baleno,DELTA DDIS 190 Manual,"₹5,36,399","55,639 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-new-delhi-1001538168/
131,Noida,2014, Hyundai i,SPORTZ 1.4 CRDI Manual,"₹3,63,999","72,830 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-i20-2014-cars-new-delhi-1008887702/
132,Noida,2015, Maruti Swift,VDI ABS Manual,"₹3,84,599","92,528 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2015-cars-new-delhi-1006670328/
133,Noida,2014, Maruti Swift,VDI Manual,"₹3,93,399","45,784 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2014-cars-new-delhi-1006023048/
134,Noida,2015, Maruti Swift,VDI ABS Manual,"₹4,36,699","86,812 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2015-cars-new-delhi-1006197045/
135,Noida,2014, Ford Ecosport,1.5TITANIUM TDCI Manual,"₹4,48,399","50,969 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-new-delhi-1054357144/
136,Noida,2014, Maruti Swift,ZDI Manual,"₹3,93,499","92,143 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2014-cars-new-delhi-1057528422/
137,Noida,2014, Toyota Innova,2.5 VX 8 STR BS IV Manual,"₹9,65,999","1,36,746 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-2014-cars-new-delhi-1013797746/
138,Noida,2014, Toyota Innova,2.5 VX 8 STR BS IV Manual,"₹9,89,999","70,007 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-2014-cars-new-delhi-1009072429/
139,Noida,2013, Jaguar XF,2.2 DIESEL Automatic,"₹16,45,899","28,289 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-jaguar-xf-2013-cars-ghaziabad-1128366066/
140,Noida,2016, Renault Kwid,RXT Manual,"₹2,80,399","22,917 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2016-cars-new-delhi-1005496069/
