,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
233,Chennai,2017, Maruti Swift,VXI OPT Manual,"₹5,57,999","18,908 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1133447860/
234,Chennai,2016, Maruti Alto ,LXI Manual,"₹2,89,499","18,472 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-chennai-1132687144/
235,Chennai,2019, Renault Kwid,RXL Manual,"₹4,27,099","31,836 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2019-cars-chennai-1131096066/
236,Chennai,2014, Honda Amaze,1.2 SX MT I VTEC Manual,"₹4,51,699","82,815 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2014-cars-chennai-1134826866/
237,Chennai,2016, Toyota Fortuner,3.0 MT 4X4 Manual,"₹20,30,546","47,174 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-toyota-fortuner-2016-cars-chennai-1132982709/
238,Chennai,2019, Maruti Celerio,VXI Manual,"₹5,43,655","5,842 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-chennai-1133088663/
239,Chennai,2019, Hyundai VENUE,S MT Turbo GDI 1.0L Manual,"₹8,43,099","2,353 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-chennai-1130785462/
240,Chennai,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,08,099","30,221 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-chennai-1132799866/
241,Chennai,2019, Hyundai Creta,1.4 E PLUS CRDI Manual,"₹9,01,799","94,602 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-chennai-1137739103/
242,Chennai,2019, Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"₹4,34,999","15,674 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-chennai-1137899201/
243,Chennai,2016, Honda Jazz,1.2 SV MT Manual,"₹5,56,199","36,282 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2016-cars-chennai-1130550565/
244,Chennai,2021, Tata Tiago,XZ+ 1.2 Revotron Manual,"₹6,37,599","22,289 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2021-cars-chennai-11304196799/
245,Chennai,2021, Honda Amaze,1.2 SMT I VTEC Manual,"₹7,41,199","30,912 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2021-cars-chennai-11373595771/
246,Chennai,2016, Hyundai i,MAGNA 1.1 IRDE2 Manual,"₹3,78,599","60,094 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-chennai-1139317907/
247,Chennai,2021, Maruti Eeco,7 STR Manual,"₹5,26,699","11,184 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2021-cars-chennai-11390898719/
248,Chennai,2015, Honda Brio,1.2 S MT I VTEC Manual,"₹4,16,299","20,209 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2015-cars-chennai-11336495797/
249,Chennai,2021, Hyundai VENUE,S Plus MT 1.2 Kappa Manual,"₹9,45,261","6,122 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-chennai-11325299799/
250,Chennai,2017, Maruti Ciaz,ALPHA 1.3 DDIS SHVS Manual,"₹8,09,399","44,079 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-chennai-1137976262/
251,Chennai,2015, Honda Amaze,1.2 SMT I VTEC Manual,"₹4,79,599","64,491 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2015-cars-chennai-1138370361/
252,Chennai,2018, Maruti Alto ,LXI Manual,"₹3,24,599","20,048 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-chennai-1135738307/
253,Chennai,2014, Maruti Alto K,VXI Manual,"₹2,64,699","45,262 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2014-cars-chennai-1134828627/
254,Chennai,2018, Maruti Dzire,ZXI Manual,"₹6,83,899","57,701 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-chennai-11311893795/
255,Chennai,2015, Maruti Alto K,VXI Manual,"₹2,97,899","30,139 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-chennai-1137240607/
