,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
84,Bengaluru,2015, Hyundai Grand i,MAGNA 1.2 KAPPA VTVT Manual,"₹4,24,299","95,138 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-bengaluru-1022036560/
85,Bengaluru,2016, Maruti Alto K,VXI Manual,"₹3,52,199","37,215 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2016-cars-bengaluru-1021028863/
86,Bengaluru,2017, Hyundai Xcent,SX 1.2 Manual,"₹5,92,199","44,796 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-bengaluru-1024072268/
87,Bengaluru,2018, Maruti Ertiga,ZDI PLUS SHVS Manual,"₹11,01,499","33,670 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ertiga-2018-cars-bengaluru-10256197799/
88,Bengaluru,2012, Hyundai i,ERA 1.1 IRDE Manual,"₹3,95,099","17,573 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-bengaluru-1021886160/
89,Bengaluru,2020, KIA SELTOS,1.5 GTX+ AT Automatic,"₹19,20,399","38,331 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bengaluru-1027256267/
90,Bengaluru,2017, Maruti Alto ,LXI Manual,"₹3,33,699","25,297 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-bengaluru-1024586569/
91,Bengaluru,2021, Renault Kiger,RXZ 1.0 AT DUAL TONE ,"₹10,43,799","7,396 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-bengaluru-10279095778/
92,Bengaluru,2011, Hyundai Verna,FLUIDIC 1.6 SX VTVT Manual,"₹5,02,999","85,488 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2011-cars-bengaluru-10257099799/
93,Bengaluru,2021, Renault Duster,RXZ Manual,"₹11,87,899","4,031 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-duster-2021-cars-bengaluru-10218095796/
94,Bengaluru,2015, Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹5,99,899","58,080 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-bengaluru-1026034365/
