,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
251,Ahmedabad,2018, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹5,50,999","41,284 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-ahmedabad-1146678363/
252,Ahmedabad,2018, Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹12,20,699","83,685 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-ahmedabad-1144655260/
253,Ahmedabad,2017, Maruti Wagon R .,VXI Manual,"₹4,22,799","35,407 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-ahmedabad-1144904067/
254,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹3,82,299","7,228 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-1143475663/
255,Ahmedabad,2019, Maruti S PRESSO,VXI PLUS Manual,"₹4,41,099","13,271 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2019-cars-ahmedabad-1144507661/
256,Ahmedabad,2017, Maruti Baleno,ZETA 1.2 K12 Manual,"₹5,86,599","48,541 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-surat-1358414263/
257,Ahmedabad,2021, Volkswagen Vento,COMFORTLINE 1.0 TSI MT Manual,"₹9,56,499","22,649 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2021-cars-ahmedabad-11446599796/
258,Ahmedabad,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,23,499","86,885 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-1149214967/
259,Ahmedabad,2020, Maruti Baleno,DELTA 1.2 K12 Manual,"₹7,22,599","7,600 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-1141170860/
260,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹3,86,999","10,250 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-1142404260/
261,Ahmedabad,2018, Maruti Wagon R .,VXI Manual,"₹4,48,355","48,691 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-ahmedabad-1147130967/
262,Ahmedabad,2017, Maruti Dzire,VXI Manual,"₹6,09,499","38,454 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-surat-1353116964/
263,Ahmedabad,2018, Honda City,ZX CVT Automatic,"₹11,67,799","57,370 km",1st Owner,Petrol + CNG,https://www.cars24.com/buy-used-honda-city-2018-cars-ahmedabad-1140240260/
264,Ahmedabad,2017, Maruti Alto ,LXI Manual,"₹3,20,399","19,724 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-1142402360/
265,Ahmedabad,2018, Maruti Wagon R .,VXI AMT Automatic,"₹5,26,699","21,037 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-ahmedabad-1357516261/
266,Ahmedabad,2020, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹6,94,999","45,942 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-gandhinagar-1425180861/
267,Ahmedabad,2019, Maruti S PRESSO,VXI PLUS Manual,"₹4,02,699","10,038 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2019-cars-ahmedabad-1354169305/
268,Ahmedabad,2019, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹6,05,099","16,167 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-gandhinagar-14295392776/
