,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
173,Pune,2018, Tata NEXON,XZA+ 1.5 Automatic,"₹8,87,609","79,737 km",1st Owner,Diesel,https://www.cars24.com/buy-used-tata-nexon-2018-cars-pune-1061938865/
174,Pune,2018, Hyundai Verna,1.6 SX VTVT AT (O) Automatic,"₹11,02,199","21,774 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-pune-1032186947/
175,Pune,2018, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹8,15,299","15,939 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-pune-1037383540/
176,Pune,2018, Maruti S Cross,ALPHA SHVS Manual,"₹10,22,099","64,963 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-1060005062/
177,Pune,2018, Maruti S Cross,ALPHA SHVS Manual,"₹9,26,099","63,073 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-1061335044/
178,Pune,2017, Maruti S Cross,ZETA SHVS Manual,"₹8,68,399","69,762 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-pune-1066502603/
179,Pune,2017, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹6,24,299","1,00,475 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-pune-1035115844/
180,Pune,2017, Maruti S Cross,ZETA SHVS Manual,"₹8,55,799","77,395 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-pune-1064203605/
181,Pune,2018, Hyundai Tucson New,2WD AT GL DIESEL Automatic,"₹19,41,299","50,976 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-hyundai-tucson-new-2018-cars-pune-10611099718/
182,Pune,2015, Maruti Alto ,LXI Manual,"₹2,93,299","11,125 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-pune-1031562164/
183,Pune,2016, Maruti Swift,VXI Manual,"₹5,04,399","14,724 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2016-cars-pune-1063848669/
184,Pune,2019, Maruti Ertiga,ZXI SMART HYBRID AT Automatic,"₹11,30,999","16,389 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-pune-10669591774/
185,Pune,2019, Maruti Ertiga,ZXI SMART HYBRID AT Automatic,"₹11,30,999","39,506 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-pune-1068336668/
186,Pune,2016, Maruti Celerio,VDI Manual,"₹4,39,999","53,508 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-pune-1061981960/
187,Pune,2019, Maruti Ertiga,ZDI PLUS SHVS Manual,"₹11,26,199","23,796 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-pune-1037849243/
188,Pune,2011, Mercedes Benz C Class,250 CDI ELEGANCE AT Automatic,"₹8,45,699","43,482 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mercedes-benz-c-class-2011-cars-pune-1033613125/
189,Pune,2020, Maruti Dzire,VXI Manual,"₹7,63,799","7,766 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2020-cars-pune-10693291776/
190,Pune,2015, Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹4,74,299","91,842 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2015-cars-pune-1038445043/
191,Pune,2014, Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹4,47,599","54,417 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-pune-1031472163/
192,Pune,2013, Maruti Swift,VXI Manual,"₹4,03,799","54,935 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2013-cars-mumbai-1031450262/
193,Pune,2017, Maruti Swift,VDI OPT Manual,"₹6,29,599","53,444 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2017-cars-pune-1066715962/
194,Pune,2017, Maruti Celerio,VXI AMT Automatic,"₹4,67,999","35,598 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-pune-1062864466/
195,Pune,2015, Volkswagen Vento,HIGHLINE TDI AT Automatic,"₹5,84,699","63,954 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-volkswagen-vento-2015-cars-pune-1032022266/
196,Pune,2017, Hyundai Elite i,ERA 1.2 Manual,"₹5,21,999","33,595 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-pune-1031244360/
